"Marca temporal","Seleccione una opcion","Otra pregunta","Ingrese su edad alv"
"2020/10/30 9:35:47 p. m. GMT-5","Opción 2","Opción 2","12"
"2020/10/30 9:36:35 p. m. GMT-5","Opción 2","Opción 3","23"
"2020/10/30 9:37:48 p. m. GMT-5","Opción 2","Opción 4","15"
"2020/10/30 9:44:04 p. m. GMT-5","Opción 3","Opción 1","35"
"2020/10/30 9:44:09 p. m. GMT-5","Opción 1","Opción 3","18"
"2020/10/30 9:44:17 p. m. GMT-5","Opción 4","Opción 2","12"
"2020/10/30 9:44:27 p. m. GMT-5","Opción 3","Opción 1","14"
"2020/10/30 9:44:47 p. m. GMT-5","Opción 1","Opción 4","13"
"2020/10/30 9:44:56 p. m. GMT-5","Opción 3","Opción 2","19"
"2020/10/30 9:45:34 p. m. GMT-5","Opción 4","Opción 3","50"
"2020/10/30 9:45:45 p. m. GMT-5","Opción 2","Opción 2","38"
"2020/10/30 9:45:54 p. m. GMT-5","Opción 2","Opción 4","37"
"2020/10/30 9:46:41 p. m. GMT-5","Opción 2","Opción 2","55"
"2020/10/30 9:46:50 p. m. GMT-5","Opción 4","Opción 2","35"
"2020/10/30 9:46:59 p. m. GMT-5","Opción 4","Opción 2","76"
"2020/10/30 9:47:23 p. m. GMT-5","Opción 2","Opción 4","45"
"2020/10/31 7:52:39 a. m. GMT-5","Opción 4","Opción 3","13"
"2020/10/31 7:52:51 a. m. GMT-5","Opción 3","Opción 3","14"
